num_trotter_steps,time,vacuum_persistence_probability,000000000000,101001000100,001000010110,010110001000,000100101001
1,0.05,0.99609375,1020.0,2.0,2.0,,
1,0.20526315789473687,0.96484375,988.0,7.0,7.0,11.0,11.0
1,0.3605263157894737,0.87890625,900.0,26.0,36.0,25.0,37.0
1,0.5157894736842106,0.76171875,780.0,65.0,54.0,59.0,66.0
1,0.6710526315789475,0.6357421875,651.0,98.0,89.0,67.0,119.0
1,0.8263157894736843,0.4912109375,503.0,124.0,138.0,96.0,163.0
1,0.9815789473684211,0.365234375,374.0,146.0,180.0,106.0,218.0
1,1.136842105263158,0.263671875,270.0,157.0,201.0,118.0,278.0
1,1.2921052631578949,0.1865234375,191.0,140.0,230.0,96.0,367.0
1,1.4473684210526316,0.1015625,104.0,134.0,249.0,88.0,449.0
1,1.6026315789473686,0.052734375,54.0,126.0,271.0,51.0,522.0
1,1.7578947368421054,0.0302734375,31.0,101.0,272.0,41.0,579.0
1,1.9131578947368422,0.0107421875,11.0,75.0,228.0,19.0,691.0
1,2.068421052631579,0.0068359375,7.0,49.0,214.0,14.0,740.0
1,2.223684210526316,0.001953125,2.0,31.0,169.0,6.0,816.0
1,2.3789473684210525,0,0.0,10.0,129.0,,885.0
1,2.5342105263157895,0,0.0,9.0,86.0,,929.0
1,2.6894736842105265,0,0.0,5.0,39.0,,980.0
1,2.844736842105263,0,0.0,,26.0,,998.0
1,3.0,0,0.0,,4.0,,1020.0
2,0.05,1.0,1024.0,,,,
2,0.20526315789473687,0.9619140625,985.0,10.0,12.0,10.0,7.0
2,0.3605263157894737,0.8916015625,913.0,26.0,24.0,38.0,23.0
2,0.5157894736842106,0.80078125,820.0,55.0,57.0,47.0,45.0
2,0.6710526315789475,0.7021484375,719.0,73.0,79.0,78.0,75.0
2,0.8263157894736843,0.6416015625,657.0,84.0,90.0,83.0,110.0
2,0.9815789473684211,0.5576171875,571.0,104.0,125.0,110.0,114.0
2,1.136842105263158,0.5703125,584.0,91.0,125.0,85.0,139.0
2,1.2921052631578949,0.62109375,636.0,92.0,104.0,62.0,130.0
2,1.4473684210526316,0.66015625,676.0,77.0,96.0,42.0,133.0
2,1.6026315789473686,0.75390625,772.0,40.0,71.0,42.0,99.0
2,1.7578947368421054,0.8310546875,851.0,27.0,34.0,27.0,85.0
2,1.9131578947368422,0.8818359375,903.0,20.0,26.0,27.0,48.0
2,2.068421052631579,0.896484375,918.0,21.0,7.0,33.0,45.0
2,2.223684210526316,0.89453125,916.0,14.0,,52.0,42.0
2,2.3789473684210525,0.8818359375,903.0,24.0,,60.0,37.0
2,2.5342105263157895,0.82421875,844.0,42.0,,83.0,55.0
2,2.6894736842105265,0.771484375,790.0,48.0,5.0,93.0,88.0
2,2.844736842105263,0.7021484375,719.0,63.0,8.0,116.0,118.0
2,3.0,0.6474609375,663.0,55.0,14.0,142.0,150.0
3,0.05,0.998046875,1022.0,1.0,1.0,,
3,0.20526315789473687,0.96484375,988.0,14.0,4.0,11.0,7.0
3,0.3605263157894737,0.861328125,882.0,34.0,36.0,34.0,38.0
3,0.5157894736842106,0.7890625,808.0,46.0,55.0,62.0,53.0
3,0.6710526315789475,0.6962890625,713.0,90.0,64.0,76.0,81.0
3,0.8263157894736843,0.64453125,660.0,93.0,97.0,68.0,106.0
3,0.9815789473684211,0.6259765625,641.0,103.0,98.0,78.0,104.0
3,1.136842105263158,0.6337890625,649.0,78.0,95.0,72.0,130.0
3,1.2921052631578949,0.6953125,712.0,89.0,85.0,56.0,82.0
3,1.4473684210526316,0.7734375,792.0,47.0,70.0,43.0,72.0
3,1.6026315789473686,0.873046875,894.0,23.0,51.0,15.0,41.0
3,1.7578947368421054,0.9384765625,961.0,11.0,17.0,9.0,26.0
3,1.9131578947368422,0.96875,992.0,2.0,2.0,12.0,16.0
3,2.068421052631579,0.9765625,1000.0,7.0,1.0,9.0,7.0
3,2.223684210526316,0.9375,960.0,17.0,11.0,11.0,25.0
3,2.3789473684210525,0.86328125,884.0,26.0,35.0,29.0,50.0
3,2.5342105263157895,0.7626953125,781.0,37.0,67.0,33.0,106.0
3,2.6894736842105265,0.66796875,684.0,43.0,88.0,46.0,163.0
3,2.844736842105263,0.55078125,564.0,66.0,109.0,51.0,234.0
3,3.0,0.4541015625,465.0,65.0,116.0,44.0,334.0
